2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              your system are expected; only the error for your installed FFmpeg\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              for each of those versions. Errors for versions not installed on\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |              versions 4, 5, 6, 7, and 8, and we attempt to load libtorchcodec\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 |           1. FFmpeg is not properly installed in your environment. We support\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 | Could not load libtorchcodec. Likely causes:\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 | \n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 | * fix torchcodec installation. Error message was:\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 | * use audio preloaded in-memory as a {'waveform': (channel, time) torch.Tensor, 'sample_rate': int} dictionary;\n
2026-04-04  03:43:54.478 | info | 557p3wxxdt2dk3 | torchcodec is not installed correctly so built-in audio decoding will fail. Solutions are:\n
2026-04-04  03:43:54.123 | info | 557p3wxxdt2dk3 | /usr/local/lib/python3.11/dist-packages/pyannote/audio/core/io.py:47: UserWarning: \n
2026-04-04  03:43:51.987 | info | 557p3wxxdt2dk3 | font_manager.py     :1639 2026-04-03 19:43:51,986 generated new fontManager\n
2026-04-04  03:43:51.987 | info | 557p3wxxdt2dk3 | Started.
2026-04-04  03:43:51.986 | info | 557p3wxxdt2dk3 | Jobs in progress: 1
2026-04-04  03:43:51.006 | info | 557p3wxxdt2dk3 | Jobs in queue: 1
2026-04-04  03:43:41.602 | info | 557p3wxxdt2dk3 | Finished.
2026-04-04  03:43:36.967 | info | 557p3wxxdt2dk3 | transcribe.py       :895  2026-04-03 19:43:36,966 VAD filter removed 00:21.532 of audio\n
2026-04-04  03:43:36.746 | info | 557p3wxxdt2dk3 | transcribe.py       :881  2026-04-03 19:43:36,745 Processing audio with duration 01:22.268\n
2026-04-04  03:43:33.961 | info | 557p3wxxdt2dk3 | _client.py          :1038 2026-04-03 19:43:33,960 HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-large-v3/revision/main "HTTP/1.1 200 OK"\n
2026-04-04  03:43:33.961 | info | 557p3wxxdt2dk3 | Started.
2026-04-04  03:43:33.961 | info | 557p3wxxdt2dk3 | Jobs in progress: 1
2026-04-04  03:43:31.226 | info | 557p3wxxdt2dk3 | Jobs in queue: 1
2026-04-04  03:34:35.286 | info | d1ejj01fmcrar4 | Finished.
2026-04-04  03:34:35.286 | error | d1ejj01fmcrar4 | {\n    "error_type": "<class 'ImportError'>",\n    "error_message": "libcudnn.so.9: cannot open shared object file: No such file or directory",\n    "error_traceback": "Traceback (most recent call last):\n  File \"/usr/local/lib/python3.11/dist-packages/runpod/serverless/modules/rp_job.py\", line 182, in run_job\n    handler_return = handler(job)\n                     ^^^^^^^^^^^^\n  File \"/app/handler.py\", line 248, in handler\n    return handle_diarize(job_input)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \"/app/handler.py\", line 80, in handle_diarize\n    import torch\n  File \"/usr/local/lib/python3.11/dist-packages/torch/__init__.py\", line 290, in <module>\n    from torch._C import *  # noqa: F403\n    ^^^^^^^^^^^^^^^^^^^^^^\nImportError: libcudnn.so.9: cannot open shared object file: No such file or directory\n",\n    "hostname": "d1ejj01fmcrar4-6441149f",\n    "worker_id": "d1ejj01fmcrar4",\n    "runpod_version": "1.8.2"\n}
2026-04-04  03:34:35.286 | error | d1ejj01fmcrar4 | Captured Handler Exception
2026-04-04  03:34:35.286 | info | d1ejj01fmcrar4 | Started.
2026-04-04  03:34:35.286 | info | d1ejj01fmcrar4 | Jobs in progress: 1
2026-04-04  03:34:34.997 | info | d1ejj01fmcrar4 | Jobs in queue: 1
2026-04-04  03:34:21.893 | info | d1ejj01fmcrar4 | Finished.
2026-04-04  03:34:17.549 | info | d1ejj01fmcrar4 | transcribe.py       :895  2026-04-03 19:34:17,549 VAD filter removed 00:21.532 of audio\n
2026-04-04  03:34:17.363 | info | d1ejj01fmcrar4 | transcribe.py       :881  2026-04-03 19:34:17,362 Processing audio with duration 01:22.268\n
2026-04-04  03:34:15.576 | info | d1ejj01fmcrar4 | _client.py          :1038 2026-04-03 19:34:15,575 HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-large-v3/revision/main "HTTP/1.1 200 OK"\n
2026-04-04  03:34:15.576 | info | d1ejj01fmcrar4 | Started.
2026-04-04  03:34:15.576 | info | d1ejj01fmcrar4 | Jobs in progress: 1
2026-04-04  03:34:15.359 | info | d1ejj01fmcrar4 | Jobs in queue: 1
2026-04-04  02:53:26.227 | info | d1ejj01fmcrar4 | Finished.
2026-04-04  02:53:26.227 | error | d1ejj01fmcrar4 | {\n    "error_type": "<class 'ImportError'>",\n    "error_message": "libcudnn.so.9: cannot open shared object file: No such file or directory",\n    "error_traceback": "Traceback (most recent call last):\n  File \"/usr/local/lib/python3.11/dist-packages/runpod/serverless/modules/rp_job.py\", line 182, in run_job\n    handler_return = handler(job)\n                     ^^^^^^^^^^^^\n  File \"/app/handler.py\", line 248, in handler\n    return handle_diarize(job_input)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \"/app/handler.py\", line 80, in handle_diarize\n    import torch\n  File \"/usr/local/lib/python3.11/dist-packages/torch/__init__.py\", line 290, in <module>\n    from torch._C import *  # noqa: F403\n    ^^^^^^^^^^^^^^^^^^^^^^\nImportError: libcudnn.so.9: cannot open shared object file: No such file or directory\n",\n    "hostname": "d1ejj01fmcrar4-6441149f",\n    "worker_id": "d1ejj01fmcrar4",\n    "runpod_version": "1.8.2"\n}
2026-04-04  02:53:26.227 | error | d1ejj01fmcrar4 | Captured Handler Exception
2026-04-04  02:53:26.226 | info | d1ejj01fmcrar4 | Started.
2026-04-04  02:53:26.226 | info | d1ejj01fmcrar4 | Jobs in progress: 1
2026-04-04  02:53:25.931 | info | d1ejj01fmcrar4 | Jobs in queue: 1
2026-04-04  02:53:14.257 | info | d1ejj01fmcrar4 | Finished.
2026-04-04  02:53:09.756 | info | d1ejj01fmcrar4 | transcribe.py       :895  2026-04-03 18:53:09,755 VAD filter removed 00:21.532 of audio\n
2026-04-04  02:53:09.527 | info | d1ejj01fmcrar4 | transcribe.py       :881  2026-04-03 18:53:09,526 Processing audio with duration 01:22.268\n
2026-04-04  02:53:07.711 | info | d1ejj01fmcrar4 | _client.py          :1038 2026-04-03 18:53:07,710 HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-large-v3/revision/main "HTTP/1.1 200 OK"\n
2026-04-04  02:53:07.711 | info | d1ejj01fmcrar4 | Started.
2026-04-04  02:53:07.711 | info | d1ejj01fmcrar4 | Jobs in progress: 1
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | Jobs in queue: 1
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | --- Starting Serverless Worker |  Version 1.8.2 ---\n
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | \n
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | \n
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | By pulling and using the container, you accept the terms and conditions of this license:\n
2026-04-04  02:53:07.081 | info | d1ejj01fmcrar4 | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | \n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2026-04-04  02:53:07.080 | info | d1ejj01fmcrar4 | \n
